"",,,,,,,,,"30,00%70,00%",,,
TOUCH - ENTREGA 30 DE MAIO DE 2022,ÁREAS,1,1,REF: SETEMBRO/2023,,,,,,,,
QTD,UNID,V.G.,LOCALIZAÇÃO,ESCANINHO,LOCALIZAÇÃO,PRIVATIVA,COMUM,TOTAL,FRAÇÃO,SINAL,HABITE-SE,TOTAL
1,1702,242-259,T - T,40A,T,"151,0600","114,6793","268,7093","0,004053432","474.105,29","1.317.696,11","1.791.801,40"
2,2003,264 - 277,T - T,64A,M,"151,0600","114,3364","267,2564","0,004035771","474.105,29","1.327.494,80","1.801.600,09"
3,2401,298 - 302,T - T,41A,T,"151,0600","115,1764","270,8164","0,004079047","474.874,72","1.365.920,16","1.840.794,88"
"",,,,,,,,,,,,
