"",,,ENTREGA 30 DE JANEIRO DE 2025,,,,,ÁREAS,,,1,15,3,1,1,REF: SETEMBRO/2023
QTD,UNID,V.G.,LOCALIZAÇÃO COBERTURA,,ÁREA V.G,AP APTO,COMUM,,TOTAL,FRAÇÃO,SINAL,MENSAL,SEMESTRAL,ÚNICA,HABITE-SE,TOTAL
35,134,189,TÉRREO DESCOBERTA,,"21,60","78,43","55,6747",,"134,1047","0,003706104","73.189,50","1.829,74","21.499,41","48.963,77","517.797,36","731.894,96"
36,135,54,SUBSOLO COBERTA,,"21,60","86,11","60,2572",,"146,3672","0,004204516","80.211,74","2.005,29","23.562,20","53.661,65","567.478,04","802.117,38"
37,141,44,SUBSOLO COBERTA,,"21,60","103,5","66,8980",,"170,3980","0,004926797","96.585,54","2.414,64","28.372,00","64.615,73","683.318,52","965.855,39"
38,143,198,TÉRREO PARCIALMENTE DESCOBERTA,,"21,60","77,66","55,3807",,"133,0407","0,003674123","72.102,15","1.802,55","21.180,01","48.236,34","510.104,70","721.021,47"
39,144,181,TÉRREO DESCOBERTA,,"21,60","78,43","55,6747",,"134,1047","0,003706104","73.548,06","1.838,70","21.604,74","49.203,65","520.334,17","735.480,60"
40,145,60,SUBSOLO COBERTA,,"21,60","86,11","60,2572",,"146,3672","0,004204516","80.605,41","2.015,14","23.677,84","53.925,02","570.263,08","806.054,13"
41,151,12/13,SUBSOLO COBERTA,,"10,80 / 10,80","103,5","66,8980",,"170,3980","0,004926797","97.061,08","2.426,53","28.511,69","64.933,86","686.682,87","970.610,83"
42,154,182,TÉRREO DESCOBERTA,,"21,60","78,43","55,6747",,"134,1047","0,003706104","73.908,42","1.847,71","21.710,60","49.444,73","522.883,57","739.084,17"
43,155,55,SUBSOLO COBERTA,,"21,60","86,11","60,2572",,"146,3672","0,004204516","81.001,06","2.025,03","23.794,06","54.189,71","573.062,17","810.010,57"
44,163,185,TÉRREO DESCOBERTA,,"21,60","77,66","55,3807",,"133,0407","0,003674123","72.817,57","1.820,44","21.390,16","48.714,95","515.166,09","728.175,69"
45,164,184,TÉRREO DESCOBERTA,,"21,60","78,43","55,6747",,"134,1047","0,003706104","74.270,58","1.856,76","21.816,98","49.687,02","525.445,82","742.705,76"
46,165,141,TÉRREO COBERTA,,"21,60","86,11","58,6075",,"144,7175","0,004025088","81.398,68","2.034,97","23.910,86","54.455,72","575.875,26","813.986,79"
47,171,01/02,SUBSOLO COBERTA,,"10,80 / 10,80","103,5","66,8980",,"170,3980","0,004926797","98.019,32","2.450,48","28.793,17","65.574,92","693.462,22","980.193,17"
48,173,187,TÉRREO DESCOBERTA,,"21,60","77,66","55,3807",,"133,0407","0,003674123","73.177,96","1.829,45","21.496,03","48.956,06","517.715,79","731.779,65"
49,174,186,TÉRREO DESCOBERTA,,"21,60","78,43","55,6747",,"134,1047","0,003706104","74.634,55","1.865,86","21.923,90","49.930,51","528.020,79","746.345,45"
50,175,28,SUBSOLO COBERTA,,"21,60","86,11","60,2572",,"146,3672","0,004204516","81.798,29","2.044,96","24.028,25","54.723,06","578.702,39","817.982,89"
51,183,175,TÉRREO DESCOBERTA,,"21,60","77,66","55,3807",,"133,0407","0,003674123","73.540,16","1.838,50","21.602,42","49.198,37","520.278,34","735.401,63"
52,184,143,TÉRREO DESCOBERTA,,"21,60","78,43","55,6747",,"134,1047","0,003706104","75.000,33","1.875,01","22.031,35","50.175,22","530.608,59","750.003,34"
53,185,150,TÉRREO PARCIALMENTE DESCOBERTA,,"21,60","86,11","58,6075",,"144,7175","0,004025088","82.199,90","2.055,00","24.146,22","54.991,73","581.543,68","821.998,97"
