ENTREGA 30 DE NOVEMBRO DE 2024,ÁREAS,1,13,2,1,1,REF: SETEMBRO/2023,,,,,,,,
QTD,UNID,V.G.,LOCALIZAÇÃO,COBERTURA,ÁREA V.G,AP APTO,COMUM,TOTAL,FRAÇÃO,SINAL,MENSAL,SEMESTRAL,ÚNICA,HABITE-SE,TOTAL
37,134,247,TÉRREO,DESCOBERTA,"21,60","78,43","55,6747","134,1047","0,003706104","72.406,19","1.810,15","21.269,32","52.060,05","533.525,05","724.061,88"
38,143,243,TÉRREO,DESCOBERTA,"21,60","77,66","55,3807","133,0407","0,003674123","72.795,28","1.819,88","21.383,61","52.339,80","536.392,04","727.952,78"
39,144,244,TÉRREO,DESCOBERTA,"21,60","78,43","55,6747","134,1047","0,003706104","72.764,53","1.819,11","21.374,58","52.317,70","536.165,48","727.645,30"
40,146,111,SUBSOLO,COBERTA,"21,60","86,11","60,2572","146,3672","0,004204516","80.555,38","2.013,88","23.663,14","57.919,32","593.572,43","805.553,85"
41,153,256,TÉRREO,DESCOBERTA,"21,60","77,66","55,3807","133,0407","0,003674123","73.151,88","1.828,80","21.488,36","52.596,20","539.019,55","731.518,75"
42,154,257,TÉRREO,DESCOBERTA,"21,60","78,43","55,6747","134,1047","0,003706104","73.124,66","1.828,12","21.480,37","52.576,63","538.819,04","731.246,63"
43,162,234 / 235,TÉRREO,PARCIALMENTE DESCOBERTA,"12,00 / 12,00","103,55","68,1257","171,6757","0,004799287","98.262,73","2.456,57","28.864,68","70.650,90","724.048,87","982.627,27"
44,163,242,TÉRREO,DESCOBERTA,"21,60","77,66","55,3807","133,0407","0,003674123","73.510,26","1.837,76","21.593,64","52.853,87","541.660,27","735.102,56"
45,164,241,TÉRREO,DESCOBERTA,"21,60","78,43","55,6747","134,1047","0,003706104","73.486,60","1.837,16","21.586,69","52.836,86","541.486,05","734.865,97"
46,166,237,TÉRREO,COBERTA,"21,60","86,11","58,6075","144,7175","0,004025088","81.348,16","2.033,70","23.896,02","58.489,33","599.413,95","813.481,58"
47,173,251,TÉRREO,DESCOBERTA,"21,6","77,66","55,3807","133,0407","0,003674123","73.870,43","1.846,76","21.699,44","53.112,84","544.314,25","738.704,28"
48,174,250,TÉRREO,DESCOBERTA,"21,6","78,43","55,6747","134,1047","0,003706104","73.850,34","1.846,26","21.693,54","53.098,39","544.166,22","738.503,41"
49,176,68,SUBSOLO,COBERTA,"21,6","86,11","60,2572","146,3672","0,004204516","81.747,52","2.043,69","24.013,33","58.776,47","602.356,58","817.475,20"
